Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,3+,Graduate,No,11135,1773.0,700.0,360.0,1.0,Urban,Y
Male,No,0,Not Graduate,No,8800,0.0,700.0,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,19532,0.0,700.0,360.0,1.0,Rural,N
Male,Yes,1,Graduate,No,2406,5935.0,700.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,11522,3071.0,700.0,360.0,1.0,Rural,Y
Female,Yes,1,Graduate,No,5370,9388.0,700.0,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,8049,0.0,700.0,120.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,2088,8610.0,700.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,11585,0.0,700.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,7963,37946.0,700.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,5057,0.0,700.0,360.0,1.0,Urban,Y
Female,Yes,0,Graduate,No,7367,1074.0,700.0,360.0,1.0,Urban,Y
Male,No,2,Not Graduate,No,3391,0.0,568.0,360.0,-1.0,Semiurban,Y
Female,Yes,0,Not Graduate,No,3757,2857.0,700.0,360.0,-1.0,Rural,N
Male,Yes,0,Graduate,No,4004,11558.0,700.0,120.0,0.0,Rural,N
Male,No,0,Graduate,Yes,1865,0.0,247.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,8300,0.0,700.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,9950,0.0,700.0,360.0,0.0,Semiurban,N
Female,Yes,1,Graduate,No,3513,3768.0,700.0,360.0,-1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,6257,841.0,700.0,360.0,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,4465,0.0,700.0,180.0,1.0,Rural,Y
Male,Yes,3+,Graduate,No,6189,6041.0,700.0,360.0,1.0,Rural,N
Female,No,0,Graduate,No,3659,0.0,700.0,360.0,1.0,Rural,Y
Female,No,0,Not Graduate,Yes,3178,0.0,362.0,12.0,1.0,Rural,N
Male,No,0,Not Graduate,No,9215,0.0,700.0,360.0,1.0,Semiurban,Y
Male,No,1,Graduate,No,4988,0.0,700.0,360.0,1.0,Urban,N
Male,No,0,Graduate,No,15712,0.0,700.0,360.0,1.0,Urban,N
Male,No,2,Not Graduate,No,5300,0.0,700.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,3105,931.0,629.0,360.0,-1.0,Urban,Y
Male,Yes,2,Graduate,No,10146,778.0,700.0,360.0,0.0,Urban,Y
Male,Yes,0,Not Graduate,No,7310,1016.0,700.0,360.0,1.0,Rural,Y
Female,No,3+,Not Graduate,No,7706,0.0,700.0,360.0,0.0,Urban,Y
Male,Yes,0,Not Graduate,No,9945,1950.0,700.0,360.0,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,3608,2426.0,700.0,240.0,1.0,Rural,N
Male,No,0,Graduate,Yes,4818,0.0,559.0,360.0,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,4702,1136.0,700.0,360.0,-1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2540,7473.0,700.0,360.0,1.0,Urban,Y
Male,No,2,Graduate,Yes,4469,0.0,673.0,360.0,0.0,Semiurban,Y
Male,No,0,Graduate,Yes,10775,0.0,700.0,360.0,1.0,Urban,Y
