Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,total_income,loan_income_ratio,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status
0,10608,3568.0,700.0,360.0,1.0,14176.0,0.049379232502160045,1,1,1,0,0,0,1
3,6189,6041.0,700.0,360.0,1.0,12230.0,0.057236304165393596,1,1,0,0,0,0,0
1,6304,10462.0,700.0,36.0,1.0,16766.0,0.04175116306562381,1,1,0,0,1,0,1
3,11135,1773.0,700.0,360.0,1.0,12908.0,0.05422993491987682,1,1,0,0,0,1,1
0,3012,524.0,440.0,360.0,-1.0,3536.0,0.12443438910508077,1,1,0,0,1,0,1
0,6637,7909.0,700.0,180.0,1.0,14546.0,0.048123195376864894,1,1,0,0,0,1,0
0,5289,0.0,700.0,240.0,-1.0,5289.0,0.13235016068588576,1,0,0,0,1,0,1
0,2293,0.0,341.0,360.0,1.0,2293.0,0.14871347573104515,1,0,0,0,0,1,1
2,1934,9841.0,700.0,360.0,1.0,11775.0,0.059447983009813334,1,1,1,0,1,0,0
1,4380,0.0,664.0,180.0,1.0,4380.0,0.15159817348137028,1,0,0,0,0,1,1
2,5795,956.0,700.0,360.0,1.0,6751.0,0.10368834245242359,1,1,0,0,1,0,1
3,14097,0.0,700.0,360.0,1.0,14097.0,0.049655955164243745,1,0,0,0,0,0,1
2,5012,2661.0,700.0,12.0,1.0,7673.0,0.09122898473983722,1,1,0,0,0,0,1
3,5887,3085.0,700.0,360.0,1.0,8972.0,0.0780205082391863,1,1,0,0,0,0,1
1,4778,0.0,700.0,360.0,0.0,4778.0,0.1465048136989316,0,0,0,0,1,0,0
0,2981,0.0,368.0,360.0,1.0,2981.0,0.12344850717093307,1,1,0,1,0,1,1
0,4204,1237.0,700.0,360.0,1.0,5441.0,0.1286528211489335,0,1,1,0,1,0,0
2,5753,2649.0,700.0,360.0,1.0,8402.0,0.0833134967765635,1,1,0,0,0,1,1
2,10174,0.0,700.0,360.0,1.0,10174.0,0.06880283073827376,1,0,0,0,1,0,1
1,4989,0.0,700.0,120.0,1.0,4989.0,0.1403086790658832,0,0,1,0,1,0,1
0,1779,0.0,329.0,360.0,1.0,1779.0,0.18493535683814763,1,0,0,0,1,0,1
0,4529,1301.0,700.0,360.0,1.0,5830.0,0.12006861061405341,1,1,0,0,1,0,1
2,7167,0.0,700.0,360.0,1.0,7167.0,0.09766987580610159,1,0,0,0,1,0,1
0,8797,489.0,700.0,12.0,-1.0,9286.0,0.07538229592123817,1,1,0,0,0,1,1
2,5300,0.0,700.0,360.0,1.0,5300.0,0.1320754716731933,1,0,1,0,1,0,1
0,1219,0.0,700.0,360.0,1.0,1219.0,0.5742411808250687,1,1,0,0,1,0,1
2,2489,0.0,519.0,180.0,0.0,2489.0,0.20851747681457716,0,1,1,0,1,0,0
2,6383,1362.0,700.0,60.0,1.0,7745.0,0.09038089088568355,1,1,0,0,0,1,1
2,7296,875.0,700.0,360.0,1.0,8171.0,0.08566882877424196,0,1,0,0,0,1,0
0,2746,0.0,433.0,300.0,-1.0,2746.0,0.1576839038027371,1,1,0,0,0,0,1
1,4266,1505.0,700.0,360.0,0.0,5771.0,0.12129613583065393,1,1,0,1,1,0,0
0,3626,0.0,543.0,360.0,1.0,3626.0,0.14975179256763602,0,0,1,0,1,0,1
0,7310,1016.0,700.0,360.0,1.0,8326.0,0.0840739850967963,1,1,1,0,0,0,1
2,6104,512.0,700.0,360.0,1.0,6616.0,0.10580411122947338,1,1,1,1,0,1,1
3,3423,0.0,517.0,360.0,0.0,3423.0,0.15103710191322317,1,0,1,0,1,0,0
3,4731,0.0,560.0,360.0,1.0,4731.0,0.11836820965580887,1,0,0,0,0,1,0
0,4818,0.0,559.0,360.0,1.0,4818.0,0.11602324613615125,1,0,0,1,1,0,1
1,34535,1155.0,700.0,360.0,1.0,35690.0,0.019613337068657512,0,1,0,1,1,0,1
1,3513,3768.0,700.0,360.0,-1.0,7281.0,0.09614064000877068,0,1,0,0,1,0,1
0,2635,1924.0,531.0,360.0,-1.0,4559.0,0.1164729107004885,1,1,1,0,1,0,1
0,11257,518.0,700.0,360.0,1.0,11775.0,0.059447983009813334,1,1,0,0,0,1,1
3,3072,2120.0,700.0,360.0,0.0,5192.0,0.13482280428836232,1,1,0,0,1,0,0
0,2435,0.0,432.0,360.0,1.0,2435.0,0.17741273093330073,1,0,1,0,1,0,1
2,6108,0.0,700.0,360.0,-1.0,6108.0,0.11460379827855209,1,0,0,0,0,0,1
0,6097,2645.0,700.0,360.0,1.0,8742.0,0.08007320978265005,1,1,0,0,1,0,1
0,4922,1914.0,700.0,36.0,0.0,6836.0,0.10239906376500892,0,1,0,0,0,0,0
0,7316,0.0,700.0,360.0,1.0,7316.0,0.09568069982289766,1,0,0,0,0,1,1
0,6993,2933.0,700.0,360.0,1.0,9926.0,0.07052186177004616,1,1,0,1,1,0,1
2,4601,4172.0,700.0,360.0,1.0,8773.0,0.07979026557850333,1,1,0,0,1,0,1
0,6082,0.0,700.0,360.0,1.0,6082.0,0.11509371915240155,1,0,0,0,0,1,1
0,2066,2744.0,661.0,360.0,1.0,4810.0,0.13742203739346734,1,1,0,0,0,1,1
0,4550,1731.0,700.0,180.0,1.0,6281.0,0.1114472217622278,0,1,0,0,1,0,1
1,1877,1222.0,504.0,360.0,1.0,3099.0,0.16263310740153822,1,1,0,0,0,1,1
2,4683,1049.0,695.0,360.0,1.0,5732.0,0.12124912768296421,1,1,1,0,0,1,1
